NUTS1;NUTS2;NUTS3;LAU2_CODE_2016;LAU2_CODE_2017;LAU2_NAME
AT1;AT12;AT124;30101;30101;Krems an der Donau
AT1;AT12;AT123;30201;30201;St. Pölten
AT1;AT12;AT121;30301;30301;Waidhofen an der Ybbs
AT1;AT12;AT122;30401;30401;Wiener Neustadt
AT1;AT12;AT121;30501;30501;Allhartsberg
AT1;AT12;AT121;30502;30502;Amstetten
AT1;AT12;AT121;30503;30503;Ardagger
AT1;AT12;AT121;30504;30504;Aschbach-Markt
AT1;AT12;AT121;30506;30506;Behamberg
AT1;AT12;AT121;30507;30507;Biberbach
AT1;AT12;AT121;30508;30508;Ennsdorf
AT1;AT12;AT121;30509;30509;Ernsthofen
AT1;AT12;AT121;30510;30510;Ertl
AT1;AT12;AT121;30511;30511;Euratsfeld
AT1;AT12;AT121;30512;30512;Ferschnitz
AT1;AT12;AT121;30514;30514;Haag
AT1;AT12;AT121;30515;30515;Haidershofen
AT1;AT12;AT121;30516;30516;Hollenstein an der Ybbs
AT1;AT12;AT121;30517;30517;Kematen an der Ybbs
AT1;AT12;AT121;30520;30520;Neuhofen an der Ybbs
AT1;AT12;AT121;30521;30521;Neustadtl an der Donau
AT1;AT12;AT121;30522;30522;Oed-Oehling
AT1;AT12;AT121;30524;30524;Opponitz
AT1;AT12;AT121;30526;30526;St. Georgen am Reith
AT1;AT12;AT121;30527;30527;St. Georgen am Ybbsfelde
AT1;AT12;AT121;30529;30529;St. Pantaleon-Erla
AT1;AT12;AT121;30530;30530;St. Peter in der Au
AT1;AT12;AT121;30531;30531;St. Valentin
AT1;AT12;AT121;30532;30532;Seitenstetten
AT1;AT12;AT121;30533;30533;Sonntagberg
AT1;AT12;AT121;30534;30534;Strengberg
AT1;AT12;AT121;30536;30536;Viehdorf
AT1;AT12;AT121;30538;30538;Wallsee-Sindelburg
AT1;AT12;AT121;30539;30539;Weistrach
AT1;AT12;AT121;30541;30541;Winklarn
AT1;AT12;AT121;30542;30542;Wolfsbach
AT1;AT12;AT121;30543;30543;Ybbsitz
AT1;AT12;AT121;30544;30544;Zeillern
AT1;AT12;AT127;30601;30601;Alland
AT1;AT12;AT122;30602;30602;Altenmarkt an der Triesting
AT1;AT12;AT127;30603;30603;Bad Vöslau
AT1;AT12;AT127;30604;30604;Baden
AT1;AT12;AT122;30605;30605;Berndorf
AT1;AT12;AT127;30607;30607;Ebreichsdorf
AT1;AT12;AT122;30608;30608;Enzesfeld-Lindabrunn
AT1;AT12;AT122;30609;30609;Furth an der Triesting
AT1;AT12;AT127;30612;30612;Günselsdorf
AT1;AT12;AT127;30613;30613;Heiligenkreuz
AT1;AT12;AT122;30614;30614;Hernstein
AT1;AT12;AT122;30615;30615;Hirtenberg
AT1;AT12;AT127;30616;30616;Klausen-Leopoldsdorf
AT1;AT12;AT127;30618;30618;Kottingbrunn
AT1;AT12;AT127;30620;30620;Leobersdorf
AT1;AT12;AT127;30621;30621;Mitterndorf an der Fischa
AT1;AT12;AT127;30623;30623;Oberwaltersdorf
AT1;AT12;AT127;30625;30625;Pfaffstätten
AT1;AT12;AT127;30626;30626;Pottendorf
AT1;AT12;AT122;30627;30627;Pottenstein
AT1;AT12;AT127;30629;30629;Reisenberg
AT1;AT12;AT127;30631;30631;Schönau an der Triesting
AT1;AT12;AT127;30633;30633;Seibersdorf
AT1;AT12;AT127;30635;30635;Sooß
AT1;AT12;AT127;30636;30636;Tattendorf
AT1;AT12;AT127;30637;30637;Teesdorf
AT1;AT12;AT127;30639;30639;Traiskirchen
AT1;AT12;AT127;30641;30641;Trumau
AT1;AT12;AT122;30645;30645;Weissenbach an der Triesting
AT1;AT12;AT127;30646;30646;Blumau-Neurißhof
AT1;AT12;AT127;30701;30701;Au am Leithaberge
AT1;AT12;AT127;30702;30702;Bad Deutsch-Altenburg
AT1;AT12;AT127;30703;30703;Berg
AT1;AT12;AT127;30704;30704;Bruck an der Leitha
AT1;AT12;AT127;30706;30706;Enzersdorf an der Fischa
AT1;AT12;AT127;30708;30708;Göttlesbrunn-Arbesthal
AT1;AT12;AT127;30709;30709;Götzendorf an der Leitha
AT1;AT12;AT127;30710;30710;Hainburg a. d. Donau
AT1;AT12;AT127;30711;30711;Haslau-Maria Ellend
AT1;AT12;AT127;30712;30712;Höflein
AT1;AT12;AT127;30713;30713;Hof am Leithaberge
AT1;AT12;AT127;30715;30715;Hundsheim
AT1;AT12;AT127;30716;30716;Mannersdorf am Leithagebirge
AT1;AT12;AT127;30718;30718;Petronell-Carnuntum
AT1;AT12;AT127;30719;30719;Prellenkirchen
AT1;AT12;AT127;30721;30721;Rohrau
AT1;AT12;AT127;30722;30722;Scharndorf
AT1;AT12;AT127;30724;30724;Sommerein
AT1;AT12;AT127;30726;30726;Trautmannsdorf an der Leitha
AT1;AT12;AT127;30728;30728;Wolfsthal
AT1;AT12;AT126;30801;30801;Aderklaa
AT1;AT12;AT126;30802;30802;Andlersdorf
AT1;AT12;AT126;30803;30803;Angern an der March
AT1;AT12;AT126;30804;30804;Auersthal
AT1;AT12;AT126;30805;30805;Bad Pirawarth
AT1;AT12;AT126;30808;30808;Deutsch-Wagram
AT1;AT12;AT125;30810;30810;Drösing
AT1;AT12;AT125;30811;30811;Dürnkrut
AT1;AT12;AT126;30812;30812;Ebenthal
AT1;AT12;AT126;30813;30813;Eckartsau
AT1;AT12;AT126;30814;30814;Engelhartstetten
AT1;AT12;AT126;30817;30817;Gänserndorf
AT1;AT12;AT126;30819;30819;Glinzendorf
AT1;AT12;AT126;30821;30821;Groß-Enzersdorf
AT1;AT12;AT126;30822;30822;Großhofen
AT1;AT12;AT126;30824;30824;Groß-Schweinbarth
AT1;AT12;AT126;30825;30825;Haringsee
AT1;AT12;AT125;30826;30826;Hauskirchen
AT1;AT12;AT125;30827;30827;Hohenau an der March
AT1;AT12;AT126;30828;30828;Hohenruppersdorf
AT1;AT12;AT125;30829;30829;Jedenspeigen
AT1;AT12;AT126;30830;30830;Lassee
AT1;AT12;AT126;30831;30831;Leopoldsdorf im Marchfeld
AT1;AT12;AT126;30834;30834;Mannsdorf an der Donau
AT1;AT12;AT126;30835;30835;Marchegg
AT1;AT12;AT126;30836;30836;Markgrafneusiedl
AT1;AT12;AT126;30838;30838;Matzen-Raggendorf
AT1;AT12;AT125;30841;30841;Neusiedl an der Zaya
AT1;AT12;AT126;30842;30842;Obersiebenbrunn
AT1;AT12;AT126;30844;30844;Orth an der Donau
AT1;AT12;AT125;30845;30845;Palterndorf-Dobermannsdorf
